tax_year,geo,lower,rate,index
2023,BC,127299.0,0.147,1.0
2023,BC,172602.0,0.168,1.0
2023,BC,240716.0,0.205,1.0
2024,BC,0.0,0.0506,1.0
2024,BC,47937.0,0.077,1.0
2024,BC,95875.0,0.105,1.0
2024,BC,110076.0,0.1229,1.0
2024,BC,133664.0,0.147,1.0
2024,BC,181232.0,0.168,1.0
2024,BC,252752.0,0.205,1.0
2025,BC,0.0,0.0506,1.0
2025,BC,49279.0,0.077,1.0
2025,BC,98560.0,0.105,1.0
2025,BC,113158.0,0.1229,1.0
2025,BC,137407.0,0.147,1.0
2025,BC,186306.0,0.168,1.0
2025,BC,259829.0,0.205,1.0
2026,BC,0.0,0.056,1.0
2026,BC,50363.0,0.077,1.0
2026,BC,100728.0,0.105,1.0
2026,BC,115648.0,0.1229,1.0
2026,BC,140430.0,0.147,1.0
2026,BC,190405.0,0.168,1.0
2026,BC,265545.0,0.205,1.0
2027,BC,0.0,0.056,0.0
2027,BC,50363.0,0.077,0.0
2027,BC,100728.0,0.105,0.0
2027,BC,115648.0,0.1229,0.0
2027,BC,140430.0,0.147,0.0
2027,BC,190405.0,0.168,0.0
2027,BC,265545.0,0.205,0.0
2028,BC,0.0,0.056,0.0
2028,BC,50363.0,0.077,0.0
2028,BC,100728.0,0.105,0.0
2028,BC,115648.0,0.1229,0.0
2028,BC,140430.0,0.147,0.0
2028,BC,190405.0,0.168,0.0
2028,BC,265545.0,0.205,0.0
2029,BC,0.0,0.056,0.0
2029,BC,50363.0,0.077,0.0
2029,BC,100728.0,0.105,0.0
2029,BC,115648.0,0.1229,0.0
2029,BC,140430.0,0.147,0.0
2029,BC,190405.0,0.168,0.0
2029,BC,265545.0,0.205,0.0
2030,BC,0.0,0.056,0.0
2030,BC,50363.0,0.077,0.0
2030,BC,100728.0,0.105,0.0
2030,BC,115648.0,0.1229,0.0
2030,BC,140430.0,0.147,0.0
2030,BC,190405.0,0.168,0.0
2030,BC,265545.0,0.205,0.0
2014,CA,0.0,0.15,1.0
2014,CA,43953.0,0.22,1.0
2014,CA,87907.0,0.26,1.0
2014,CA,136270.0,0.29,1.0
2015,CA,0.0,0.15,1.0
2015,CA,44701.0,0.22,1.0
2015,CA,89401.0,0.26,1.0
2015,CA,138586.0,0.29,1.0
2016,CA,0.0,0.15,1.0
2016,CA,45282.0,0.205,1.0
2016,CA,90563.0,0.26,1.0
2016,CA,140388.0,0.29,1.0
2016,CA,200000.0,0.33,1.0
2017,CA,0.0,0.15,1.0
2017,CA,45916.0,0.205,1.0
2017,CA,91831.0,0.26,1.0
2017,CA,142353.0,0.29,1.0
2017,CA,202800.0,0.33,1.0
2018,CA,0.0,0.15,1.0
2018,CA,46605.0,0.205,1.0
2018,CA,93208.0,0.26,1.0
2018,CA,144489.0,0.29,1.0
2018,CA,205842.0,0.33,1.0
2019,CA,0.0,0.15,1.0
2019,CA,47630.0,0.205,1.0
2019,CA,95259.0,0.26,1.0
2019,CA,147667.0,0.29,1.0
2019,CA,210371.0,0.33,1.0
2020,CA,0.0,0.15,1.0
2020,CA,48535.0,0.205,1.0
2020,CA,97069.0,0.26,1.0
2020,CA,150473.0,0.29,1.0
2020,CA,214368.0,0.33,1.0
2021,CA,0.0,0.15,1.0
2021,CA,49020.0,0.205,1.0
2021,CA,98040.0,0.26,1.0
2021,CA,151978.0,0.29,1.0
2021,CA,216511.0,0.33,1.0
2022,CA,0.0,0.15,1.0
2022,CA,50197.0,0.205,1.0
2022,CA,100392.0,0.26,1.0
2022,CA,155625.0,0.29,1.0
2022,CA,221708.0,0.33,1.0
2023,CA,0.0,0.15,1.0
2023,CA,53359.0,0.205,1.0
2023,CA,106717.0,0.26,1.0
2023,CA,165430.0,0.29,1.0
2023,CA,235675.0,0.33,1.0
2024,CA,0.0,0.15,1.0
2024,CA,55867.0,0.205,1.0
2024,CA,111733.0,0.26,1.0
2024,CA,173205.0,0.29,1.0
2024,CA,246752.0,0.33,1.0
2025,CA,0.0,0.145,1.0
2025,CA,57375.0,0.205,1.0
2025,CA,114750.0,0.26,1.0
2025,CA,177882.0,0.29,1.0
2025,CA,253414.0,0.33,1.0
2026,CA,0.0,0.14,1.0
2026,CA,58523.0,0.205,1.0
2026,CA,117045.0,0.26,1.0
2026,CA,181440.0,0.29,1.0
2026,CA,258482.0,0.33,1.0
2027,CA,0.0,0.14,0.0
2027,CA,59954.0,0.205,1.0
2027,CA,119908.0,0.26,1.0
2027,CA,185878.0,0.29,1.0
2027,CA,264804.0,0.33,1.0
2028,CA,0.0,0.14,0.0
2028,CA,61538.0,0.205,1.0
2028,CA,123076.0,0.26,1.0
2028,CA,190789.0,0.29,1.0
2028,CA,271801.0,0.33,1.0
2029,CA,0.0,0.14,0.0
2029,CA,63218.0,0.205,1.0
2029,CA,126434.0,0.26,1.0
2029,CA,195995.0,0.29,1.0
2029,CA,279217.0,0.33,1.0
2030,CA,0.0,0.14,0.0
2030,CA,64967.0,0.205,1.0
2030,CA,129933.0,0.26,1.0
2030,CA,201418.0,0.29,1.0
2030,CA,286943.0,0.33,1.0
2014,MB,0.0,0.108,0.0
2014,MB,31000.0,0.1275,0.0
2014,MB,67000.0,0.174,0.0
2015,MB,0.0,0.108,0.0
2015,MB,31000.0,0.1275,0.0
2015,MB,67000.0,0.174,0.0
2016,MB,0.0,0.108,0.0
2016,MB,31000.0,0.1275,0.0
2016,MB,67000.0,0.174,0.0
2017,MB,0.0,0.108,1.0
2017,MB,31465.0,0.1275,1.0
2017,MB,68005.0,0.174,1.0
2018,MB,0.0,0.108,1.0
2018,MB,31843.0,0.1275,1.0
2018,MB,68821.0,0.174,1.0
2019,MB,0.0,0.108,1.0
2019,MB,32670.0,0.1275,1.0
2019,MB,70610.0,0.174,1.0
2020,MB,0.0,0.108,1.0
2020,MB,33389.0,0.1275,1.0
2020,MB,72164.0,0.174,1.0
2021,MB,0.0,0.108,1.0
2021,MB,33723.0,0.1275,1.0
2021,MB,72885.0,0.174,1.0
2022,MB,0.0,0.108,1.0
2022,MB,34431.0,0.1275,1.0
2022,MB,74416.0,0.174,1.0
2023,MB,0.0,0.108,1.0
2023,MB,36842.0,0.1275,1.0
2023,MB,79625.0,0.174,1.0
2024,MB,0.0,0.108,0.0
2024,MB,47000.0,0.1275,0.0
2024,MB,100000.0,0.174,0.0
2025,MB,0.0,0.108,0.0
2025,MB,47000.0,0.1275,0.0
2025,MB,100000.0,0.174,0.0
2026,MB,0.0,0.108,0.0
2026,MB,47000.0,0.1275,0.0
2026,MB,100000.0,0.174,0.0
2027,MB,0.0,0.108,0.0
2027,MB,47000.0,0.1275,0.0
2027,MB,100000.0,0.174,0.0
2028,MB,0.0,0.108,0.0
2028,MB,47000.0,0.1275,0.0
2028,MB,100000.0,0.174,0.0
2029,MB,0.0,0.108,0.0
2029,MB,47000.0,0.1275,0.0
2029,MB,100000.0,0.174,0.0
2030,MB,0.0,0.108,0.0
2030,MB,47000.0,0.1275,0.0
2030,MB,100000.0,0.174,0.0
2014,NB,0.0,0.0968,1.0
2014,NB,39305.0,0.1482,1.0
2014,NB,78609.0,0.1652,1.0
2014,NB,127802.0,0.1784,1.0
2015,NB,0.0,0.0968,1.0
2015,NB,39973.0,0.1482,1.0
2015,NB,79946.0,0.1652,1.0
2015,NB,129975.0,0.1784,1.0
2015,NB,150000.0,0.21,0.0
2015,NB,250000.0,0.2575,0.0
2016,NB,0.0,0.0968,1.0
2016,NB,40492.0,0.1482,1.0
2016,NB,80985.0,0.1652,1.0
2016,NB,131664.0,0.1784,1.0
2016,NB,150000.0,0.203,0.0
2017,NB,0.0,0.0968,1.0
2017,NB,41059.0,0.1482,1.0
2017,NB,82119.0,0.1652,1.0
2017,NB,133507.0,0.1784,1.0
2017,NB,152100.0,0.203,1.0
2018,NB,0.0,0.0968,1.0
2018,NB,41675.0,0.1482,1.0
2018,NB,83351.0,0.1652,1.0
2018,NB,135510.0,0.1784,1.0
2018,NB,154382.0,0.203,1.0
2019,NB,0.0,0.0968,1.0
2019,NB,42592.0,0.1482,1.0
2019,NB,85184.0,0.1652,1.0
2019,NB,138491.0,0.1784,1.0
2019,NB,157778.0,0.203,1.0
2020,NB,0.0,0.0968,1.0
2020,NB,43401.0,0.1482,1.0
2020,NB,86803.0,0.1652,1.0
2020,NB,141122.0,0.1784,1.0
2020,NB,160776.0,0.203,1.0
2021,NB,0.0,0.094,1.0
2021,NB,43835.0,0.1482,1.0
2021,NB,87671.0,0.1652,1.0
2021,NB,142534.0,0.1784,1.0
2021,NB,162383.0,0.203,1.0
2022,NB,0.0,0.094,1.0
2022,NB,44887.0,0.1482,1.0
2022,NB,89775.0,0.1652,1.0
2022,NB,145955.0,0.1784,1.0
2022,NB,166280.0,0.203,1.0
2023,NB,0.0,0.094,1.0
2023,NB,47715.0,0.14,1.0
2023,NB,95431.0,0.16,1.0
2023,NB,176756.0,0.195,1.0
2024,NB,0.0,0.094,1.0
2024,NB,49958.0,0.14,1.0
2024,NB,99916.0,0.16,1.0
2024,NB,185064.0,0.195,1.0
2025,NB,0.0,0.094,1.0
2025,NB,51306.0,0.14,1.0
2025,NB,102614.0,0.16,1.0
2025,NB,190060.0,0.195,1.0
2026,NB,0.0,0.094,1.0
2026,NB,52333.0,0.14,1.0
2026,NB,104666.0,0.16,1.0
