tax_year,geo,dividend_type,gross_up_rate,dtc_pct_of_grossed_up,dtc_pct_of_actual
2018,MB,non_eligible,0.16,0.007835,0.009089
2019,MB,eligible,0.38,0.08,0.1104
2019,MB,non_eligible,0.15,0.007835,0.00901
2020,MB,eligible,0.38,0.08,0.1104
2020,MB,non_eligible,0.15,0.007835,0.00901
2021,MB,eligible,0.38,0.08,0.1104
2021,MB,non_eligible,0.15,0.007835,0.00901
2022,MB,eligible,0.38,0.08,0.1104
2022,MB,non_eligible,0.15,0.007835,0.00901
2023,MB,eligible,0.38,0.08,0.1104
2023,MB,non_eligible,0.15,0.007835,0.00901
2024,MB,eligible,0.38,0.08,0.1104
2024,MB,non_eligible,0.15,0.007835,0.00901
2025,MB,eligible,0.38,0.08,0.1104
2025,MB,non_eligible,0.15,0.007835,0.00901
2026,MB,eligible,0.38,0.08,0.1104
2026,MB,non_eligible,0.15,0.007835,0.00901
2027,MB,eligible,0.38,0.08,0.1104
2027,MB,non_eligible,0.15,0.007835,0.00901
2028,MB,eligible,0.38,0.08,0.1104
2028,MB,non_eligible,0.15,0.007835,0.00901
2029,MB,eligible,0.38,0.08,0.1104
2029,MB,non_eligible,0.15,0.007835,0.00901
2030,MB,eligible,0.38,0.08,0.1104
2030,MB,non_eligible,0.15,0.007835,0.00901
2014,NB,eligible,0.38,0.12,0.1656
2014,NB,non_eligible,0.18,0.053,0.06254
2015,NB,eligible,0.38,0.12,0.1656
2015,NB,non_eligible,0.18,0.04,0.0472
2016,NB,eligible,0.38,0.135,0.1863
2016,NB,non_eligible,0.17,0.03625,0.042412
2017,NB,eligible,0.38,0.14,0.1932
2017,NB,non_eligible,0.17,0.03245,0.037967
2018,NB,eligible,0.38,0.14,0.1932
2018,NB,non_eligible,0.16,0.02853,0.033095
2019,NB,eligible,0.38,0.14,0.1932
2019,NB,non_eligible,0.15,0.0275,0.031625
2020,NB,eligible,0.38,0.14,0.1932
2020,NB,non_eligible,0.15,0.0275,0.031625
2021,NB,eligible,0.38,0.14,0.1932
2021,NB,non_eligible,0.15,0.0275,0.031625
2022,NB,eligible,0.38,0.14,0.1932
2022,NB,non_eligible,0.15,0.0275,0.031625
2023,NB,eligible,0.38,0.14,0.1932
2023,NB,non_eligible,0.15,0.0275,0.031625
2024,NB,eligible,0.38,0.14,0.1932
2024,NB,non_eligible,0.15,0.0275,0.031625
2025,NB,eligible,0.38,0.14,0.1932
2025,NB,non_eligible,0.15,0.0275,0.031625
2026,NB,eligible,0.38,0.14,0.1932
2026,NB,non_eligible,0.15,0.0275,0.031625
2027,NB,eligible,0.38,0.14,0.1932
2027,NB,non_eligible,0.15,0.0275,0.031625
2028,NB,eligible,0.38,0.14,0.1932
2028,NB,non_eligible,0.15,0.0275,0.031625
2029,NB,eligible,0.38,0.14,0.1932
2029,NB,non_eligible,0.15,0.0275,0.031625
2030,NB,eligible,0.38,0.14,0.1932
2030,NB,non_eligible,0.15,0.0275,0.031625
2014,NL,eligible,0.38,0.054,0.07452
2014,NL,non_eligible,0.18,0.041,0.04838
2015,NL,eligible,0.38,0.054,0.07452
2015,NL,non_eligible,0.18,0.041,0.04838
2016,NL,eligible,0.38,0.054,0.07452
2016,NL,non_eligible,0.17,0.035,0.04095
2017,NL,eligible,0.38,0.054,0.07452
2017,NL,non_eligible,0.17,0.035,0.04095
2018,NL,eligible,0.38,0.054,0.07452
2018,NL,non_eligible,0.16,0.035,0.0406
2019,NL,eligible,0.38,0.054,0.07452
2019,NL,non_eligible,0.15,0.035,0.04025
2020,NL,eligible,0.38,0.054,0.07452
2020,NL,non_eligible,0.15,0.035,0.04025
2021,NL,eligible,0.38,0.054,0.07452
2021,NL,non_eligible,0.15,0.035,0.04025
2022,NL,eligible,0.38,0.063,0.08694
2022,NL,non_eligible,0.15,0.032,0.0368
2023,NL,eligible,0.38,0.063,0.08694
2023,NL,non_eligible,0.15,0.032,0.0368
2024,NL,eligible,0.38,0.063,0.08694
2024,NL,non_eligible,0.15,0.032,0.0368
2025,NL,eligible,0.38,0.063,0.08694
2025,NL,non_eligible,0.15,0.032,0.0368
2026,NL,eligible,0.38,0.063,0.08694
2026,NL,non_eligible,0.15,0.032,0.0368
2027,NL,eligible,0.38,0.063,0.08694
2027,NL,non_eligible,0.15,0.032,0.0368
2028,NL,eligible,0.38,0.063,0.08694
2028,NL,non_eligible,0.15,0.032,0.0368
2029,NL,eligible,0.38,0.063,0.08694
2029,NL,non_eligible,0.15,0.032,0.0368
2030,NL,eligible,0.38,0.063,0.08694
2030,NL,non_eligible,0.15,0.032,0.0368
2014,NS,eligible,0.38,0.0885,0.12213
2014,NS,non_eligible,0.18,0.0587,0.069266
2015,NS,eligible,0.38,0.0885,0.12213
2015,NS,non_eligible,0.18,0.035,0.0413
2016,NS,eligible,0.38,0.0885,0.12213
2016,NS,non_eligible,0.17,0.0333,0.038961
2017,NS,eligible,0.38,0.0885,0.12213
2017,NS,non_eligible,0.17,0.0333,0.038961
2018,NS,eligible,0.38,0.0885,0.12213
2018,NS,non_eligible,0.16,0.0316,0.036656
2019,NS,eligible,0.38,0.0885,0.12213
2019,NS,non_eligible,0.15,0.0299,0.034385
2020,NS,eligible,0.38,0.0885,0.12213
2020,NS,non_eligible,0.15,0.0299,0.034385
2021,NS,eligible,0.38,0.0885,0.12213
2021,NS,non_eligible,0.15,0.0299,0.034385
2022,NS,eligible,0.38,0.0885,0.12213
2022,NS,non_eligible,0.15,0.0299,0.034385
2023,NS,eligible,0.38,0.0885,0.12213
2023,NS,non_eligible,0.15,0.0299,0.034385
2024,NS,eligible,0.38,0.0885,0.12213
2024,NS,non_eligible,0.15,0.0299,0.034385
2025,NS,eligible,0.38,0.0885,0.12213
2025,NS,non_eligible,0.15,0.015,0.01725
2026,NS,eligible,0.38,0.0885,0.12213
2026,NS,non_eligible,0.15,0.015,0.01725
2027,NS,eligible,0.38,0.0885,0.12213
2027,NS,non_eligible,0.15,0.015,0.01725
2028,NS,eligible,0.38,0.0885,0.12213
2028,NS,non_eligible,0.15,0.015,0.01725
2029,NS,eligible,0.38,0.0885,0.12213
2029,NS,non_eligible,0.15,0.015,0.01725
2030,NS,eligible,0.38,0.0885,0.12213
2030,NS,non_eligible,0.15,0.015,0.01725
2014,ON,eligible,0.38,0.1,0.138
2014,ON,non_eligible,0.18,0.045,0.0531
2015,ON,eligible,0.38,0.1,0.138
2015,ON,non_eligible,0.18,0.045,0.0531
2016,ON,eligible,0.38,0.1,0.138
2016,ON,non_eligible,0.17,0.042863,0.05015
2017,ON,eligible,0.38,0.1,0.138
2017,ON,non_eligible,0.17,0.042863,0.05015
2018,ON,eligible,0.38,0.1,0.138
2018,ON,non_eligible,0.16,0.032863,0.038121
2019,ON,eligible,0.38,0.1,0.138
2019,ON,non_eligible,0.15,0.032863,0.037792
2020,ON,eligible,0.38,0.1,0.138
2020,ON,non_eligible,0.15,0.029863,0.034342
2021,ON,eligible,0.38,0.1,0.138
2021,ON,non_eligible,0.15,0.029863,0.034342
2022,ON,eligible,0.38,0.1,0.138
2022,ON,non_eligible,0.15,0.029863,0.034342
2023,ON,eligible,0.38,0.1,0.138
2023,ON,non_eligible,0.15,0.029863,0.034342
2024,ON,eligible,0.38,0.1,0.138
2024,ON,non_eligible,0.15,0.029863,0.034342
2025,ON,eligible,0.38,0.1,0.138
2025,ON,non_eligible,0.15,0.029863,0.034342
2026,ON,eligible,0.38,0.1,0.138
2026,ON,non_eligible,0.15,0.029863,0.034342
2027,ON,eligible,0.38,0.1,0.138
2027,ON,non_eligible,0.15,0.029863,0.034342
2028,ON,eligible,0.38,0.1,0.138
2028,ON,non_eligible,0.15,0.029863,0.034342
2029,ON,eligible,0.38,0.1,0.138
2029,ON,non_eligible,0.15,0.029863,0.034342
2030,ON,eligible,0.38,0.1,0.138
2030,ON,non_eligible,0.15,0.029863,0.034342
2014,PE,eligible,0.38,0.105,0.1449
2014,PE,non_eligible,0.18,0.032,0.03776
2015,PE,eligible,0.38,0.105,0.1449
2015,PE,non_eligible,0.18,0.032,0.03776
2016,PE,eligible,0.38,0.105,0.1449
2016,PE,non_eligible,0.17,0.0305,0.035685
2017,PE,eligible,0.38,0.105,0.1449
2017,PE,non_eligible,0.17,0.0305,0.035685
2018,PE,eligible,0.38,0.105,0.1449
2018,PE,non_eligible,0.16,0.029,0.03364
2019,PE,eligible,0.38,0.105,0.1449
2019,PE,non_eligible,0.15,0.0274,0.03151
2020,PE,eligible,0.38,0.105,0.1449
2020,PE,non_eligible,0.15,0.0274,0.03151
2021,PE,eligible,0.38,0.105,0.1449
2021,PE,non_eligible,0.15,0.0196,0.02254
2022,PE,eligible,0.38,0.105,0.1449
2022,PE,non_eligible,0.15,0.013,0.01495
2023,PE,eligible,0.38,0.105,0.1449
2023,PE,non_eligible,0.15,0.013,0.01495
2024,PE,eligible,0.38,0.105,0.1449
2024,PE,non_eligible,0.15,0.013,0.01495
2025,PE,eligible,0.38,0.105,0.1449
2025,PE,non_eligible,0.15,0.013,0.01495
2026,PE,eligible,0.38,0.105,0.1449
2026,PE,non_eligible,0.15,0.013,0.01495
2027,PE,eligible,0.38,0.105,0.1449
2027,PE,non_eligible,0.15,0.013,0.01495
2028,PE,eligible,0.38,0.105,0.1449
2028,PE,non_eligible,0.15,0.013,0.01495
2029,PE,eligible,0.38,0.105,0.1449
2029,PE,non_eligible,0.15,0.013,0.01495
2030,PE,eligible,0.38,0.105,0.1449
2030,PE,non_eligible,0.15,0.013,0.01495
2014,QC,eligible,0.38,0.119,0.16422
2014,QC,non_eligible,0.18,0.0705,0.08319
2015,QC,eligible,0.38,0.119,0.16422
2015,QC,non_eligible,0.18,0.0705,0.08319
2016,QC,eligible,0.38,0.119,0.16422
2016,QC,non_eligible,0.17,0.0705,0.082485
2017,QC,eligible,0.38,0.119,0.16422
2017,QC,non_eligible,0.17,0.0705,0.082485
2018,QC,eligible,0.38,0.1186,0.163668
2018,QC,non_eligible,0.16,0.0628,0.072848
2019,QC,eligible,0.38,0.1178,0.162564
2019,QC,non_eligible,0.15,0.0555,0.063825
2020,QC,eligible,0.38,0.117,0.16146
2020,QC,non_eligible,0.15,0.0477,0.054855
2021,QC,eligible,0.38,0.117,0.16146
2021,QC,non_eligible,0.15,0.0401,0.046115
2022,QC,eligible,0.38,0.117,0.16146
2022,QC,non_eligible,0.15,0.0342,0.03933
2023,QC,eligible,0.38,0.117,0.16146
2023,QC,non_eligible,0.15,0.0342,0.03933
2024,QC,eligible,0.38,0.117,0.16146
2024,QC,non_eligible,0.15,0.0342,0.03933
2025,QC,eligible,0.38,0.117,0.16146
2025,QC,non_eligible,0.15,0.0342,0.03933
2026,QC,eligible,0.38,0.117,0.16146
2026,QC,non_eligible,0.15,0.0342,0.03933
2027,QC,eligible,0.38,0.117,0.16146
2027,QC,non_eligible,0.15,0.0269,0.030935
2028,QC,eligible,0.38,0.117,0.16146
2028,QC,non_eligible,0.15,0.0269,0.030935
2029,QC,eligible,0.38,0.117,0.16146
2029,QC,non_eligible,0.15,0.0269,0.030935
2030,QC,eligible,0.38,0.117,0.16146
2030,QC,non_eligible,0.15,0.0269,0.030935
2014,SK,eligible,0.38,0.11,0.1518
2014,SK,non_eligible,0.18,0.034,0.04012
2015,SK,eligible,0.38,0.11,0.1518
2015,SK,non_eligible,0.18,0.034,0.04012
2016,SK,eligible,0.38,0.11,0.1518
2016,SK,non_eligible,0.17,0.03367,0.039394
2017,SK,eligible,0.38,0.1075,0.14835
2017,SK,non_eligible,0.17,0.03367,0.039394
2018,SK,eligible,0.38,0.11,0.1518
2018,SK,non_eligible,0.16,0.03333,0.038663
2019,SK,eligible,0.38,0.11,0.1518
2019,SK,non_eligible,0.15,0.03362,0.038663
2020,SK,eligible,0.38,0.11,0.1518
2020,SK,non_eligible,0.15,0.03362,0.038663
2021,SK,eligible,0.38,0.11,0.1518
2021,SK,non_eligible,0.15,0.01695,0.019492
2022,SK,eligible,0.38,0.11,0.1518
2022,SK,non_eligible,0.15,0.01695,0.019492
2023,SK,eligible,0.38,0.11,0.1518
2023,SK,non_eligible,0.15,0.02105,0.024207
2024,SK,eligible,0.38,0.11,0.1518
2024,SK,non_eligible,0.15,0.02519,0.028968
2025,SK,eligible,0.38,0.11,0.1518
2025,SK,non_eligible,0.15,0.02519,0.028968
2026,SK,eligible,0.38,0.11,0.1518
2026,SK,non_eligible,0.15,0.02519,0.028968
2027,SK,eligible,0.38,0.11,0.1518
2027,SK,non_eligible,0.15,0.02519,0.028968
2028,SK,eligible,0.38,0.11,0.1518
2028,SK,non_eligible,0.15,0.02519,0.028968
2029,SK,eligible,0.38,0.11,0.1518
2029,SK,non_eligible,0.15,0.02519,0.028968
2030,SK,eligible,0.38,0.11,0.1518
2030,SK,non_eligible,0.15,0.02519,0.028968
